
Test config
Factor: 0
A: row-based naive
B: row-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
1088	1088	1088	1	8.318000	8.318000	8.318000	8.318000	8.318000	942473	410708240	294506762	116201478	12947826594	147.339890	0.000000	
1120	1120	1120	1	9.239000	9.239000	9.239000	9.239000	9.239000	268277229	386209376	253950674	132258702	14118655335	164.317902	281472829259868.343750	
1152	1152	1152	1	9.791000	9.791000	9.791000	9.791000	9.791000	1625155	500239689	345522767	154716922	15395587664	175.597885	281472829259877.218750	
1184	1184	1184	1	11.125000	11.125000	11.125000	11.125000	11.125000	298806495	478464139	300139918	178324221	16692393724	199.291718	281472829259886.343750	
1216	1216	1216	1	11.991000	11.991000	11.991000	11.991000	11.991000	8626907	606393785	400852843	205540942	18079368379	214.698212	281472829259895.718750	
1248	1248	1248	1	13.515000	13.515000	13.515000	13.515000	13.515000	247758440	613303021	369610665	243692356	19528108130	242.079071	281472829259905.343750	
1280	1280	1280	1	14.255000	14.255000	14.255000	14.255000	14.255000	18785412	749130543	452050595	297079948	21068647085	256.074142	281472829259915.218750	
1312	1312	1312	1	16.193000	16.193000	16.193000	16.193000	16.193000	232634733	739510901	440275781	299235120	22724016458	291.939606	281472829259925.343750	
1344	1344	1344	1	17.216000	17.216000	17.216000	17.216000	17.216000	22598457	856609860	528200284	328409576	24427067500	311.466324	281472829259935.718750	
1376	1376	1376	1	19.119000	19.119000	19.119000	19.119000	19.119000	152355353	885603564	536173326	349430238	26358418532	347.436050	281472829259946.343750	
1408	1408	1408	1	19.854000	19.854000	19.854000	19.854000	19.854000	28288623	1007392278	599057940	408334338	28155467304	362.279129	281472829259957.218750	
1440	1440	1440	1	22.091000	22.091000	22.091000	22.091000	22.091000	123117940	1028169743	625908376	402261367	30002044062	404.044067	281472829259968.343750	
1472	1472	1472	1	23.153000	23.153000	23.153000	23.153000	23.153000	29889185	1136847369	689372260	447475109	32048007362	426.469025	281472829259979.718750	
1504	1504	1504	1	25.397000	25.397000	25.397000	25.397000	25.397000	43073637	1193487345	738439200	455048145	34311513803	470.283127	281472829259991.343750	
1536	1536	1536	1	27.315000	27.315000	27.315000	27.315000	27.315000	42831870	1854155375	610069665	1244085710	36534808658	510.389206	281472829260003.218750	
1568	1568	1568	1	28.982000	28.982000	28.982000	28.982000	28.982000	50979091	1351705040	835525087	516179953	38740208466	538.650558	281472829260015.343750	
1600	1600	1600	1	30.093000	30.093000	30.093000	30.093000	30.093000	37174895	1463440017	884006999	579433018	41179043103	560.648315	281472829260027.718750	
1632	1632	1632	1	32.885000	32.885000	32.885000	32.885000	32.885000	32990670	1535571646	945518059	590053587	43700480738	612.686005	281472829260040.343750	
1664	1664	1664	1	33.570000	33.570000	33.570000	33.570000	33.570000	42462854	1680892889	982291090	698601799	46287107309	629.877426	281472829260053.218750	
1696	1696	1696	1	37.075000	37.075000	37.075000	37.075000	37.075000	36901140	1721444809	1062638633	658806176	49142043940	697.792938	281472829260066.343750	
1728	1728	1728	1	38.139000	38.139000	38.139000	38.139000	38.139000	44836567	1846105378	1112897806	733207572	51858968595	720.776749	281472829260079.718750	
1760	1760	1760	1	41.715000	41.715000	41.715000	41.715000	41.715000	38496562	1925252395	1186339212	738913183	54849252589	780.631317	281472829260093.343750	
1792	1792	1792	1	42.262000	42.262000	42.262000	42.262000	42.262000	60309085	2229010254	1182895624	1046114630	57945312177	794.021332	281472829260107.218750	
1824	1824	1824	1	46.671000	46.671000	46.671000	46.671000	46.671000	42493834	2144159396	1320383817	823775579	61114431349	878.682159	281472829260121.343750	
1856	1856	1856	1	47.752000	47.752000	47.752000	47.752000	47.752000	52436772	2293254513	1376994910	916259603	64242883859	894.046600	281472829260135.718750	
1888	1888	1888	1	52.117000	52.117000	52.117000	52.117000	52.117000	45341556	2377312825	1463867702	913445123	67641702841	978.708694	281472829260150.343750	
1920	1920	1920	1	52.503000	52.503000	52.503000	52.503000	52.503000	62491464	2612970162	1497406129	1115564033	71110834157	992.857193	281472829260165.218750	
1952	1952	1952	1	58.055000	58.055000	58.055000	58.055000	58.055000	48161080	2629708009	1616890884	1012817125	74742832265	1085.771820	281472829260180.343750	
1984	1984	1984	1	58.772000	58.772000	58.772000	58.772000	58.772000	60201755	2811785909	1678238622	1133547287	78467989004	1107.912720	281472829260195.718750	
2016	2016	2016	1	64.271000	64.271000	64.271000	64.271000	64.271000	52660374	2900658080	1780201915	1120456165	82491227242	1204.886627	281472829260211.343750	
2048	2048	2048	1	76.964000	76.964000	76.964000	76.964000	76.964000	265774099	7513344460	376079506	7137264954	86479877091	1489.923706	281472829260227.218750	
