
Test config
Factor: 0
A: row-based naive
B: column-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
8	8	8	1	0.000000	0.000000	0.000000	0.000000	0.000000	743	444	340	104	238862	0.000000	281474976710539.500000	
16	16	16	1	0.000000	0.000000	0.000000	0.000000	0.000000	664	352	316	36	273456	0.000000	281474966163592.281250	
24	24	24	1	0.000000	0.000000	0.000000	0.000000	0.000000	11	2083	1312	771	379032	0.000000	281474966163592.281250	
32	32	32	1	0.000000	0.000000	0.000000	0.000000	0.000000	116	1597	1345	252	586677	0.011780	281474966163592.281250	
40	40	40	1	0.000000	0.000000	0.000000	0.000000	0.000000	720	809	594	215	852381	0.010788	281474966163592.281250	
48	48	48	1	0.000000	0.000000	0.000000	0.000000	0.000000	176	1169	904	265	1280046	0.011658	281474966163592.281250	
56	56	56	1	0.000000	0.000000	0.000000	0.000000	0.000000	587	1245	863	382	1884218	0.000000	281474966163592.281250	
64	64	64	1	0.001000	0.001000	0.001000	0.001000	0.001000	1030	1159	785	374	2695257	0.011169	281474966163592.281250	
72	72	72	1	0.001000	0.001000	0.001000	0.001000	0.001000	1276	1996	1682	314	3785815	0.011429	281474966163592.281250	
80	80	80	1	0.001000	0.001000	0.001000	0.001000	0.001000	1299	1456	1030	426	4997733	0.010666	281474966163592.281250	
88	88	88	1	0.001000	0.001000	0.001000	0.001000	0.001000	1222	3659	2211	1448	6704363	0.022293	281474966163592.281250	
96	96	96	1	0.002000	0.002000	0.002000	0.002000	0.002000	2009	1690	1182	508	8442515	0.022217	281474966163643.500000	
104	104	104	1	0.002000	0.002000	0.002000	0.002000	0.002000	1923	2882	2249	633	10672866	0.032898	281474966163643.500000	
112	112	112	1	0.003000	0.003000	0.003000	0.003000	0.003000	1994	2503	1850	653	13214083	0.031448	281474966163643.500000	
120	120	120	1	0.004000	0.004000	0.004000	0.004000	0.004000	2586	2611	1887	724	16182778	0.043213	281474966163643.500000	
128	128	128	1	0.004000	0.004000	0.004000	0.004000	0.004000	2104	2792	1867	925	19536944	0.051666	281474966163643.500000	
136	136	136	1	0.005000	0.005000	0.005000	0.005000	0.005000	2696	3835	1978	1857	23348626	0.061737	281474966163643.500000	
144	144	144	1	0.006000	0.006000	0.006000	0.006000	0.006000	3839	3323	2090	1233	27635220	0.068832	281474966163643.500000	
152	152	152	1	0.007000	0.007000	0.007000	0.007000	0.007000	3153	4219	2527	1692	32434701	0.061203	281474966163643.500000	
160	160	160	1	0.008000	0.008000	0.008000	0.008000	0.008000	4302	4406	2677	1729	37745190	0.079910	281474966163643.500000	
168	168	168	1	0.010000	0.010000	0.010000	0.010000	0.010000	3749	4462	2760	1702	43620340	0.078354	281474966163643.500000	
176	176	176	1	0.011000	0.011000	0.011000	0.011000	0.011000	3480	4395	2860	1535	50069999	0.095520	281474966163643.500000	
184	184	184	1	0.012000	0.012000	0.012000	0.012000	0.012000	4668	8220	2969	5251	57144558	0.121201	281474966163643.500000	
192	192	192	1	0.006000	0.006000	0.006000	0.006000	0.006000	3083	5364	3513	1851	64832551	0.124573	281474966163643.500000	
200	200	200	1	0.007000	0.007000	0.007000	0.007000	0.007000	3667	6015	4147	1868	73203507	0.127060	281474966163643.500000	
208	208	208	1	0.008000	0.008000	0.008000	0.008000	0.008000	2527	11073	5225	5848	82258618	0.147583	281474966163643.500000	
216	216	216	1	0.009000	0.009000	0.009000	0.009000	0.009000	2888	7499	5771	1728	92055423	0.147583	281474966163643.500000	
224	224	224	1	0.009000	0.009000	0.009000	0.009000	0.009000	3083	8715	6828	1887	102611384	0.167068	281474966163643.500000	
232	232	232	1	0.010000	0.010000	0.010000	0.010000	0.010000	2651	9534	7107	2427	113934346	0.200485	281474966163643.500000	
240	240	240	1	0.011000	0.011000	0.011000	0.011000	0.011000	3023	11020	8524	2496	126054463	0.204636	281474966163643.500000	
248	248	248	1	0.013000	0.013000	0.013000	0.013000	0.013000	3241	11226	8719	2507	139010706	0.240631	281474966163643.500000	
256	256	256	1	0.014000	0.014000	0.014000	0.014000	0.014000	1667	29970	21854	8116	154299785	0.268509	281474966163643.500000	
264	264	264	1	0.015000	0.015000	0.015000	0.015000	0.015000	524	16749	14095	2654	167866845	0.278839	281474966163592.281250	
272	272	272	1	0.017000	0.017000	0.017000	0.017000	0.017000	529	16225	14335	1890	183497159	0.297424	281474966163592.281250	
280	280	280	1	0.018000	0.018000	0.018000	0.018000	0.018000	567	17400	15546	1854	200079894	0.334885	281474966163592.281250	
288	288	288	1	0.020000	0.020000	0.020000	0.020000	0.020000	720	18532	15167	3365	217635664	0.371201	281474966163592.281250	
296	296	296	1	0.021000	0.021000	0.021000	0.021000	0.021000	699	19413	17718	1695	236188941	0.390854	281474966163592.281250	
304	304	304	1	0.023000	0.023000	0.023000	0.023000	0.023000	732	22273	19753	2520	255767260	0.426453	281474966163592.281250	
312	312	312	1	0.025000	0.025000	0.025000	0.025000	0.025000	721	23532	20182	3350	276398992	0.442520	281474966163592.281250	
320	320	320	1	0.027000	0.027000	0.027000	0.027000	0.027000	947	22460	19246	3214	298120499	0.483475	281474966163592.281250	
328	328	328	1	0.029000	0.029000	0.029000	0.029000	0.029000	763	26469	23711	2758	320944586	0.540482	281474966163592.281250	
336	336	336	1	0.031000	0.031000	0.031000	0.031000	0.031000	846	27032	25139	1893	344898144	0.576614	281474966163592.281250	
344	344	344	1	0.033000	0.033000	0.033000	0.033000	0.033000	919	29668	26785	2883	370057471	0.596481	281474966163592.281250	
352	352	352	1	0.035000	0.035000	0.035000	0.035000	0.035000	1133	27999	25977	2022	396358711	0.651093	281474966163592.281250	
360	360	360	1	0.037000	0.037000	0.037000	0.037000	0.037000	983	32177	30376	1801	423891879	0.705551	281474966163592.281250	
368	368	368	1	0.040000	0.040000	0.040000	0.040000	0.040000	1102	34057	32164	1893	452683474	0.726990	281474966163592.281250	
376	376	376	1	0.043000	0.043000	0.043000	0.043000	0.043000	1247	35879	33762	2117	482745790	0.781311	281474966163592.281250	
