Test config
Factor: 0
A: row-based naive
B: column-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
16	16	16	1	0.000000	0.000000	0.000000	0.000000	0.000000	139	1178	931	247	272333	0.014557	281472829270027.406250	
24	24	24	1	0.000000	0.000000	0.000000	0.000000	0.000000	317	866	779	87	370448	0.015259	281472829270027.406250	
32	32	32	1	0.000000	0.000000	0.000000	0.000000	0.000000	716	525	422	103	541874	0.000000	281472829270027.406250	
40	40	40	1	0.000000	0.000000	0.000000	0.000000	0.000000	853	1583	1003	580	892467	0.000000	281472829270027.406250	
48	48	48	1	0.000000	0.000000	0.000000	0.000000	0.000000	26	1949	1640	309	1277138	0.000000	281472829270027.406250	
56	56	56	1	0.001000	0.001000	0.001000	0.001000	0.001000	135	1286	1009	277	1854225	0.013931	281472829270027.406250	
64	64	64	1	0.001000	0.001000	0.001000	0.001000	0.001000	1725	3037	2246	791	2822842	0.012650	281472829270027.406250	
72	72	72	1	0.001000	0.001000	0.001000	0.001000	0.001000	546	1589	1413	176	3670130	0.010056	281472829270027.406250	
80	80	80	1	0.001000	0.001000	0.001000	0.001000	0.001000	1280	3611	2038	1573	5122596	0.010742	281472829270027.406250	
88	88	88	1	0.001000	0.001000	0.001000	0.001000	0.001000	1706	1395	851	544	6524222	0.011139	281472829270027.406250	
96	96	96	1	0.002000	0.002000	0.002000	0.002000	0.002000	1630	1734	1194	540	8371490	0.022369	281472829270027.406250	
104	104	104	1	0.002000	0.002000	0.002000	0.002000	0.002000	3229	2079	1571	508	10581971	0.032516	281472829270027.406250	
112	112	112	1	0.003000	0.003000	0.003000	0.003000	0.003000	1827	2112	1396	716	13102984	0.032135	281472829270027.406250	
120	120	120	1	0.004000	0.004000	0.004000	0.004000	0.004000	2390	2530	1628	902	16035712	0.042282	281472829270027.406250	
128	128	128	1	0.005000	0.005000	0.005000	0.005000	0.005000	1788	3692	2092	1600	19428084	0.049026	281472829270027.406250	
136	136	136	1	0.006000	0.006000	0.006000	0.006000	0.006000	2879	5270	2061	3209	23196786	0.045746	281472829270027.406250	
144	144	144	1	0.006000	0.006000	0.006000	0.006000	0.006000	4860	3012	1599	1413	27452061	0.057526	281472829270027.406250	
152	152	152	1	0.008000	0.008000	0.008000	0.008000	0.008000	3479	3480	1784	1696	32226085	0.060287	281472829270027.406250	
160	160	160	1	0.009000	0.009000	0.009000	0.009000	0.009000	4306	3627	1819	1808	37513501	0.077759	281472829270027.406250	
168	168	168	1	0.010000	0.010000	0.010000	0.010000	0.010000	3715	3674	1911	1763	43362169	0.086090	281472829270027.406250	
176	176	176	1	0.012000	0.012000	0.012000	0.012000	0.012000	2374	3900	2129	1771	49800263	0.094238	281472829270027.406250	
184	184	184	1	0.013000	0.013000	0.013000	0.013000	0.013000	3475	8086	2350	5736	56836047	0.121582	281472829270027.406250	
192	192	192	1	0.015000	0.015000	0.015000	0.015000	0.015000	1236	4182	2312	1870	64521010	0.119247	281472829270027.406250	
