# Size  # Cache faults  # + loekke
8       16              16              
16      64              64
24      144             144
32      256             256
40      400             400
48      576             576
56      784             784
64      1024            1024
72      1296            1296
80      1600            1600
88      1936            1936
96      2304            2304
104     2704            2704
112     3136            3136
120     3600            3600
128     4096            4096
136     4624            4624
144     5184            5184
152     5776            5776
160     6400            6400
168     7056            7056
176     42232           12074
184     282392          41770
192     889344          116176
200     1005000         199846
208     1130272         293164
216     1265544         396514
224     1411200         510280
232     1567624         634846
240     1735200         770596
248     1914312         917914
256     2105344         1077184
264     2308680         1248790
272     2524704         1433116
280     2753800         1630546
288     2996352         1841464
296     3252744         2066254
304     3523360         2305300
312     3808584         2558986
320     4108800         2827696
328     4424392         3111814
336     4755744         3411724
344     5103240         3727810
352     5467264         4060456
360     5848200         4410046
368     6246432         4776964
376     6662344         5161594
384     7096320         5564320
392     7548744         5985526
400     8020000         6425596
408     8510472         6884914
416     9020544         7363864
424     9550600         
432     10101024
440     10672200
448     11264512
456     11878344
464     12514080
472     13172104
