Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
comps_Btree_bs	1	5	0.286000	0.287000	0.308000	0.308000	0.309000	626350	33101	3204960	0	0	9.132113
comps_Btree_bs	2	5	0.346000	0.347000	0.367000	0.373000	0.376000	627445	38973	11534252	0	0	9.324519
comps_Btree_bs	4	5	0.352000	0.353000	0.374000	0.376000	0.385000	626840	37091	12120553	0	0	9.198596
comps_Btree_bs	8	5	0.353000	0.353000	0.371000	0.374000	0.376000	627566	37311	12908225	0	0	8.337722
comps_Btree_bs	16	5	0.407000	0.410000	0.424000	0.424000	0.424000	627171	41327	20395643	0	0	8.190158
comps_Btree_bs	32	5	0.458000	0.458000	0.459000	0.459000	0.459000	625724	44200	29580650	0	0	7.246964
comps_Btree_bs	64	5	0.845000	0.849000	0.851000	0.851000	0.852000	626106	63309	50451287	0	0	16.992017
comps_Btree_bs	128	5	0.869000	0.870000	0.871000	0.872000	0.874000	626208	67626	51925191	0	0	16.462858
comps_Btree_bs	256	5	0.926000	0.926000	0.929000	0.930000	0.931000	626467	66558	60332223	0	0	16.032322
comps_Btree_bs	512	5	0.946000	0.947000	0.954000	0.955000	0.956000	627217	68316	66179123	0	0	15.567927
comps_Btree_bs	1024	5	1.014000	1.026000	1.049000	1.064000	1.102000	687845	96954	75205589	0	0	15.118813
comps_Btree_bs	2048	5	1.411000	1.415000	1.418000	1.424000	1.448000	814819	122433	92316444	0	0	24.599105
comps_Btree_bs	4096	5	1.410000	1.411000	1.424000	1.436000	1.438000	913833	106009	94947895	0	0	24.162427
comps_Btree_bs	8192	5	1.462000	1.464000	1.465000	1.477000	1.489000	3544295	122926	99408122	0	0	23.664310
comps_Btree_bs	16384	5	1.441000	1.449000	1.459000	1.476000	1.478000	12555860	86690	102245947	0	0	23.167152
comps_Btree_bs	32768	5	1.501000	1.501000	1.501000	1.501000	1.503000	18724092	193275	109767447	0	0	22.661963
comps_Btree_bs	65536	5	1.931000	1.941000	1.942000	1.942000	1.944000	24386162	4252379	133571335	0	0	32.216200
comps_Btree_bs	131072	5	2.008000	2.008000	2.015000	2.018000	2.018000	32114426	14191525	137546283	0	0	31.725956
comps_Btree_bs	262144	5	2.071000	2.075000	2.075000	2.076000	2.077000	39642441	21219163	141141153	0	0	31.231042
comps_Btree_bs	524288	5	2.084000	2.084000	2.084000	2.086000	2.112000	45100977	26017315	142227805	0	0	30.736116
comps_Btree_bs	1048576	5	2.319000	2.324000	2.325000	2.327000	2.327000	50325475	33432228	153067639	0	0	30.231108
comps_Btree_bs	2097152	5	3.290000	3.292000	3.295000	3.299000	3.308000	57875364	42641563	182908338	0	0	39.767583
comps_Btree_bs	4194304	5	3.590000	3.593000	3.594000	3.595000	3.624000	65353867	48912667	188301015	0	0	39.276608
comps_Btree_bs	8388608	5	3.820000	3.822000	3.828000	3.838000	3.843000	72046407	54261737	192873223	0	0	38.775819
comps_Btree_bs	16777216	5	4.172000	4.176000	4.182000	4.187000	4.202000	77889030	60892318	196447284	0	0	38.275250
