Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
comps_Btree_lin	1	5	0.080000	0.080000	0.080000	0.080000	0.112000	625335	16569	2261807	0	0	1.370663
comps_Btree_lin	2	5	0.133000	0.133000	0.133000	0.141000	0.153000	625371	20541	7278193	0	0	2.215570
comps_Btree_lin	4	5	0.187000	0.187000	0.189000	0.208000	0.244000	626381	25117	8602625	0	0	4.202903
comps_Btree_lin	8	5	0.228000	0.230000	0.247000	0.257000	0.259000	627470	28255	10497232	0	0	5.765563
comps_Btree_lin	16	5	0.341000	0.342000	0.356000	0.356000	0.357000	627394	36037	20316313	0	0	7.619510
comps_Btree_lin	32	5	0.431000	0.434000	0.440000	0.441000	0.451000	630316	42401	28114285	0	0	8.853337
comps_Btree_lin	64	5	0.524000	0.551000	0.551000	0.556000	0.561000	642179	47644	37102075	0	0	9.998574
comps_Btree_lin	128	5	0.615000	0.615000	0.629000	0.630000	0.639000	641928	57874	45119029	0	0	11.502874
comps_Btree_lin	256	5	0.714000	0.714000	0.714000	0.729000	0.744000	647731	71477	50928104	0	0	14.282984
comps_Btree_lin	512	5	0.774000	0.774000	0.775000	0.788000	0.790000	659585	80933	57090748	0	0	15.134130
comps_Btree_lin	1024	5	0.866000	0.877000	0.880000	0.881000	0.894000	758207	97158	63856022	0	0	17.073152
comps_Btree_lin	2048	5	0.911000	0.915000	0.923000	0.924000	0.925000	811050	106554	66684607	0	0	18.397402
comps_Btree_lin	4096	5	0.990000	0.991000	1.003000	1.019000	1.019000	1250659	101758	72964157	0	0	20.441792
comps_Btree_lin	8192	5	1.069000	1.069000	1.070000	1.070000	1.072000	4315478	94208	78324470	0	0	22.249297
comps_Btree_lin	16384	5	1.128000	1.128000	1.128000	1.128000	1.132000	16972596	94733	83165910	0	0	23.446541
comps_Btree_lin	32768	5	1.223000	1.223000	1.227000	1.230000	1.240000	31547823	389604	89008022	0	0	25.536389
comps_Btree_lin	65536	5	1.334000	1.335000	1.335000	1.335000	1.336000	45055758	6408609	95904341	0	0	27.519154
comps_Btree_lin	131072	5	1.445000	1.451000	1.454000	1.454000	1.454000	59769453	19007382	105071418	0	0	28.622017
comps_Btree_lin	262144	5	1.595000	1.595000	1.596000	1.596000	1.596000	74726689	36076883	113043532	0	0	30.478115
comps_Btree_lin	524288	5	1.684000	1.685000	1.687000	1.689000	1.697000	92796203	55115404	115824566	0	0	31.934098
comps_Btree_lin	1048576	5	2.134000	2.140000	2.156000	2.163000	2.165000	110902342	73627522	127607017	0	0	33.929742
comps_Btree_lin	2097152	5	2.718000	2.720000	2.721000	2.730000	2.733000	129152362	93138637	138495425	0	0	35.693616
comps_Btree_lin	4194304	5	3.103000	3.104000	3.105000	3.105000	3.107000	139778044	104661911	145962888	0	0	36.930935
comps_Btree_lin	8388608	5	3.515000	3.521000	3.523000	3.523000	3.527000	155248535	120695254	154632192	0	0	38.886455
comps_Btree_lin	16777216	5	3.865000	3.866000	3.867000	3.871000	3.898000	169273528	133523283	158891442	0	0	40.835477
comps_Btree_lin	33554432	5	4.265000	4.272000	4.274000	4.280000	4.281000	186364360	150680604	167081215	0	0	42.030429
