Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
comps_Btree_linrec	1	5	0.223000	0.297000	0.317000	0.337000	0.364000	625825	33833	6324938	0	0	8.091966
comps_Btree_linrec	2	5	0.219000	0.220000	0.220000	0.238000	0.238000	625595	27426	7650939	0	0	3.616845
comps_Btree_linrec	4	5	0.251000	0.251000	0.260000	0.261000	0.270000	627300	28858	5741784	0	0	6.983424
comps_Btree_linrec	8	5	0.351000	0.354000	0.369000	0.378000	0.379000	627007	38429	14513872	0	0	8.400937
comps_Btree_linrec	16	5	0.535000	0.540000	0.543000	0.543000	0.544000	627822	49837	11646326	0	0	18.162844
comps_Btree_linrec	32	5	0.910000	0.916000	0.916000	0.916000	0.934000	627165	75641	11673806	0	0	37.233193
comps_Btree_linrec	64	5	0.934000	0.934000	0.934000	0.935000	0.941000	628342	78221	15849194	0	0	34.482315
comps_Btree_linrec	128	5	0.990000	0.991000	0.991000	0.991000	1.003000	628633	83871	23153121	0	0	34.758231
comps_Btree_linrec	256	5	1.178000	1.178000	1.178000	1.178000	1.179000	630788	94178	33515913	0	0	40.272260
comps_Btree_linrec	512	5	1.290000	1.298000	1.298000	1.298000	1.305000	633054	104027	30904843	0	0	46.914155
comps_Btree_linrec	1024	5	1.637000	1.637000	1.637000	1.638000	1.639000	643012	111910	31395209	0	0	63.182571
comps_Btree_linrec	2048	5	1.746000	1.749000	1.749000	1.749000	1.755000	677363	115246	33132348	0	0	65.642255
comps_Btree_linrec	4096	5	1.797000	1.798000	1.818000	1.878000	1.916000	1271689	131782	34686861	0	0	67.547298
comps_Btree_linrec	8192	5	1.960000	1.973000	1.974000	1.976000	2.021000	5174919	188509	36534207	0	0	72.106409
comps_Btree_linrec	16384	5	2.096000	2.102000	2.115000	2.132000	2.154000	14861480	189257	38183860	0	0	80.837395
comps_Btree_linrec	32768	5	2.403000	2.413000	2.413000	2.414000	2.417000	20701532	386564	38613517	0	0	96.030862
comps_Btree_linrec	65536	5	2.560000	2.560000	2.561000	2.561000	2.561000	25557017	4730153	45330874	0	0	98.094311
comps_Btree_linrec	131072	5	2.662000	2.662000	2.662000	2.665000	2.668000	32327293	14181330	51485324	0	0	100.356720
comps_Btree_linrec	262144	5	2.797000	2.799000	2.801000	2.801000	2.808000	40002676	20409091	55458738	0	0	105.331814
comps_Btree_linrec	524288	5	2.948000	2.948000	2.951000	2.964000	2.979000	45503909	24923436	54879868	0	0	113.033611
comps_Btree_linrec	1048576	5	3.387000	3.395000	3.397000	3.400000	3.419000	49279713	31893089	54102878	0	0	127.918272
comps_Btree_linrec	2097152	5	4.002000	4.009000	4.014000	4.018000	4.019000	55635812	40161855	60831677	0	0	130.329173
comps_Btree_linrec	4194304	5	4.326000	4.330000	4.338000	4.340000	4.356000	63180228	45839838	65459705	0	0	133.144094
comps_Btree_linrec	8388608	5	4.629000	4.633000	4.651000	4.664000	4.673000	69305046	50154993	69303035	0	0	138.628261
comps_Btree_linrec	16777216	5	5.091000	5.095000	5.097000	5.100000	5.108000	73590655	55656968	69092713	0	0	145.748173
