Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
comps_DFS_lin	1	5	0.116000	0.117000	0.117000	0.117000	0.132000	625362	19743	4725543	0	0	1.834754
comps_DFS_lin	2	5	0.133000	0.134000	0.134000	0.137000	0.146000	625388	20361	6662244	0	0	2.091915
comps_DFS_lin	4	5	0.174000	0.174000	0.190000	0.195000	0.204000	625737	27876	7538167	0	0	3.146281
comps_DFS_lin	8	5	0.262000	0.262000	0.276000	0.278000	0.290000	627174	30038	11587828	0	0	6.017916
comps_DFS_lin	16	5	0.355000	0.370000	0.371000	0.372000	0.372000	627170	38743	18881786	0	0	7.625059
comps_DFS_lin	32	5	0.478000	0.481000	0.515000	0.518000	0.520000	630032	44878	30155264	0	0	8.660480
comps_DFS_lin	64	5	0.547000	0.549000	0.549000	0.557000	0.563000	627249	52047	37823496	0	0	10.138836
comps_DFS_lin	128	5	0.647000	0.648000	0.668000	0.673000	0.680000	628768	56937	43985581	0	0	12.046350
comps_DFS_lin	256	5	0.739000	0.750000	0.751000	0.766000	0.784000	631971	65341	49160805	0	0	14.134848
comps_DFS_lin	512	5	0.800000	0.802000	0.813000	0.846000	0.896000	645396	76843	54727896	0	0	15.191313
comps_DFS_lin	1024	5	0.903000	0.920000	0.944000	0.960000	0.988000	737989	100309	60543060	0	0	17.058926
comps_DFS_lin	2048	5	0.975000	0.977000	0.987000	0.989000	0.998000	865235	86817	64919465	0	0	18.471336
comps_DFS_lin	4096	5	1.031000	1.032000	1.069000	1.086000	1.107000	1242662	85766	70489626	0	0	20.483805
comps_DFS_lin	8192	5	1.168000	1.170000	1.204000	1.211000	1.246000	5194813	124135	75873156	0	0	22.282251
comps_DFS_lin	16384	5	1.210000	1.212000	1.215000	1.219000	1.226000	15493601	180264	81515596	0	0	23.434248
comps_DFS_lin	32768	5	1.311000	1.320000	1.326000	1.339000	1.372000	25616208	486379	86594556	0	0	25.545754
comps_DFS_lin	65536	5	1.399000	1.417000	1.422000	1.433000	1.437000	35538801	2872560	92749109	0	0	27.505805
comps_DFS_lin	131072	5	1.517000	1.517000	1.518000	1.518000	1.518000	47373432	18181950	100553997	0	0	28.625252
comps_DFS_lin	262144	5	1.684000	1.684000	1.684000	1.685000	1.690000	60394243	35099377	107596778	0	0	30.480860
comps_DFS_lin	524288	5	1.790000	1.790000	1.791000	1.793000	1.795000	72936883	49843335	111132076	0	0	31.924954
comps_DFS_lin	1048576	5	2.069000	2.071000	2.072000	2.073000	2.107000	87284566	64462838	117939668	0	0	33.909246
comps_DFS_lin	2097152	5	2.861000	2.861000	2.867000	2.870000	2.872000	101182758	79419541	127873737	0	0	35.693139
comps_DFS_lin	4194304	5	3.389000	3.399000	3.399000	3.399000	3.409000	113494917	92827159	133238613	0	0	36.929519
comps_DFS_lin	8388608	5	3.908000	3.909000	3.914000	3.917000	3.929000	127096746	106309962	139117949	0	0	38.889646
comps_DFS_lin	16777216	5	4.387000	4.393000	4.394000	4.400000	4.408000	139635759	119288542	144323300	0	0	40.837111
comps_DFS_lin	33554432	5	4.856000	4.860000	4.860000	4.860000	4.862000	153379038	131361545	149636354	0	0	42.027528
