Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
comps_bs	1	5	0.100000	0.100000	0.101000	0.101000	0.115000	625388	17914	4954060	0	0	1.540731
comps_bs	2	5	0.119000	0.119000	0.119000	0.124000	0.135000	625426	19425	4624332	0	0	2.617498
comps_bs	4	5	0.161000	0.161000	0.161000	0.161000	0.177000	625498	22575	7618148	0	0	3.265368
comps_bs	8	5	0.216000	0.217000	0.231000	0.234000	0.239000	625992	25730	12508332	0	0	4.631172
comps_bs	16	5	0.310000	0.310000	0.324000	0.325000	0.325000	626119	33629	21179875	0	0	6.195411
comps_bs	32	5	0.382000	0.383000	0.395000	0.396000	0.396000	626815	38003	28843636	0	0	7.178669
comps_bs	64	5	0.497000	0.503000	0.508000	0.508000	0.511000	627986	47041	41916083	0	0	8.923508
comps_bs	128	5	0.582000	0.582000	0.582000	0.582000	0.583000	626918	52274	49500484	0	0	10.675237
comps_bs	256	5	0.658000	0.659000	0.659000	0.659000	0.659000	628583	60417	56766110	0	0	12.051153
comps_bs	512	5	0.730000	0.730000	0.730000	0.730000	0.732000	630935	65596	62327263	0	0	13.535671
comps_bs	1024	5	0.803000	0.803000	0.803000	0.803000	0.803000	635847	70846	68275456	0	0	14.989588
comps_bs	2048	5	0.874000	0.874000	0.874000	0.874000	0.874000	644443	78768	73727473	0	0	16.459149
comps_bs	4096	5	0.934000	0.941000	0.941000	0.942000	0.942000	739941	77649	78611831	0	0	17.962818
comps_bs	8192	5	1.015000	1.017000	1.017000	1.017000	1.018000	5414261	67278	84032348	0	0	19.483999
comps_bs	16384	5	1.126000	1.126000	1.126000	1.127000	1.130000	55286497	64782	89324214	0	0	20.996845
comps_bs	32768	5	1.224000	1.224000	1.225000	1.225000	1.230000	94188900	260463	94580259	0	0	22.496417
comps_bs	65536	5	1.386000	1.386000	1.386000	1.386000	1.386000	133223868	18120303	104068498	0	0	23.982342
comps_bs	131072	5	1.752000	1.752000	1.753000	1.756000	1.765000	209203577	96053919	118904483	0	0	25.495920
comps_bs	262144	5	2.136000	2.143000	2.148000	2.169000	2.207000	279549881	188281391	125909518	0	0	26.988293
comps_bs	524288	5	2.413000	2.419000	2.468000	2.515000	2.539000	327676578	248362008	129732579	0	0	28.504505
comps_bs	1048576	5	2.958000	2.970000	3.058000	3.064000	3.323000	418332599	381872720	138186537	0	0	30.003167
comps_bs	2097152	5	5.446000	5.469000	5.551000	5.630000	5.691000	445908450	379933922	169393382	0	0	31.500209
comps_bs	4194304	5	8.676000	8.680000	8.680000	8.685000	8.691000	559835118	538689849	185742281	0	0	32.998999
comps_bs	8388608	5	10.814000	10.824000	10.824000	10.825000	10.832000	613266478	592395293	190607101	0	0	34.497901
comps_bs	16777216	5	12.893000	12.894000	12.913000	12.917000	12.921000	666152108	650538639	197159736	0	0	35.996335
comps_bs	33554432	5	14.866000	14.873000	14.874000	14.881000	14.892000	707073049	692466393	205444149	0	0	37.491420
