Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
counters1_Btree_bs	1	5	0.142000	0.143000	0.143000	0.143000	0.157000	625285	21611	1489459	0	0	-
counters1_Btree_bs	2	5	0.197000	0.198000	0.209000	0.211000	0.226000	626258	25688	8168900	0	0	-
counters1_Btree_bs	4	5	0.212000	0.213000	0.213000	0.223000	0.224000	625647	26154	9959137	0	0	-
counters1_Btree_bs	8	5	0.235000	0.235000	0.235000	0.246000	0.247000	625436	28795	13217745	0	0	-
counters1_Btree_bs	16	5	0.278000	0.279000	0.283000	0.287000	0.288000	625920	30909	19032698	0	0	-
counters1_Btree_bs	32	5	0.324000	0.325000	0.333000	0.341000	0.349000	625751	34468	26225707	0	0	-
counters1_Btree_bs	64	5	0.492000	0.492000	0.492000	0.501000	0.501000	626326	46744	29219313	0	0	-
counters1_Btree_bs	128	5	0.537000	0.537000	0.537000	0.537000	0.550000	626241	50645	35557530	0	0	-
counters1_Btree_bs	256	5	0.571000	0.573000	0.574000	0.574000	0.574000	626601	52219	40660448	0	0	-
counters1_Btree_bs	512	5	0.611000	0.612000	0.613000	0.614000	0.614000	626555	56531	46285596	0	0	-
counters1_Btree_bs	1024	5	0.645000	0.646000	0.647000	0.649000	0.655000	627511	57868	51860072	0	0	-
counters1_Btree_bs	2048	5	0.836000	0.837000	0.838000	0.839000	0.839000	633824	70568	58724701	0	0	-
counters1_Btree_bs	4096	5	0.881000	0.882000	0.882000	0.882000	0.889000	706733	78722	64855373	0	0	-
counters1_Btree_bs	8192	5	0.918000	0.920000	0.921000	0.928000	0.929000	2905057	63844	69856113	0	0	-
counters1_Btree_bs	16384	5	0.962000	0.964000	0.964000	0.964000	0.987000	11608590	82831	74912249	0	0	-
counters1_Btree_bs	32768	5	1.001000	1.002000	1.002000	1.003000	1.003000	17499524	170828	79737101	0	0	-
counters1_Btree_bs	65536	5	1.256000	1.259000	1.260000	1.261000	1.261000	22988196	5669738	93341508	0	0	-
counters1_Btree_bs	131072	5	1.349000	1.352000	1.357000	1.357000	1.359000	30398601	13709076	102126343	0	0	-
counters1_Btree_bs	262144	5	1.432000	1.435000	1.437000	1.439000	1.441000	37791422	20422361	108690634	0	0	-
counters1_Btree_bs	524288	5	1.481000	1.482000	1.485000	1.488000	1.489000	43686829	26126725	114350565	0	0	-
counters1_Btree_bs	1048576	5	1.668000	1.668000	1.668000	1.669000	1.671000	50089948	34620213	123540757	0	0	-
counters1_Btree_bs	2097152	5	2.386000	2.391000	2.396000	2.397000	2.397000	60437092	46221069	136673855	0	0	-
counters1_Btree_bs	4194304	5	2.677000	2.682000	2.682000	2.684000	2.708000	71299760	55560909	147557195	0	0	-
counters1_Btree_bs	8388608	5	2.932000	2.934000	2.947000	2.949000	2.967000	82385164	66052311	159206369	0	0	-
counters1_Btree_bs	16777216	5	3.274000	3.278000	3.298000	3.314000	3.317000	94770061	80753678	170791815	0	0	-
