Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
counters1_Btree_lin	1	5	0.054000	0.054000	0.068000	0.068000	0.105000	625490	14016	2262812	0	0	-
counters1_Btree_lin	2	5	0.096000	0.097000	0.098000	0.107000	0.107000	625498	18212	7259362	0	0	-
counters1_Btree_lin	4	5	0.115000	0.116000	0.116000	0.126000	0.129000	625799	18519	8742210	0	0	-
counters1_Btree_lin	8	5	0.143000	0.143000	0.143000	0.144000	0.145000	626972	19734	8427924	0	0	-
counters1_Btree_lin	16	5	0.205000	0.206000	0.207000	0.219000	0.220000	626035	26028	10969041	0	0	-
counters1_Btree_lin	32	5	0.284000	0.285000	0.302000	0.303000	0.314000	627092	34540	13015381	0	0	-
counters1_Btree_lin	64	5	0.353000	0.355000	0.369000	0.370000	0.375000	626821	38234	18897782	0	0	-
counters1_Btree_lin	128	5	0.375000	0.378000	0.393000	0.409000	0.414000	628377	42356	22732407	0	0	-
counters1_Btree_lin	256	5	0.426000	0.436000	0.440000	0.441000	0.455000	629670	41767	27167585	0	0	-
counters1_Btree_lin	512	5	0.479000	0.495000	0.495000	0.495000	0.495000	646729	60930	30400612	0	0	-
counters1_Btree_lin	1024	5	0.549000	0.562000	0.564000	0.565000	0.569000	653098	62693	28417819	0	0	-
counters1_Btree_lin	2048	5	0.618000	0.618000	0.633000	0.633000	0.645000	704898	68229	35202813	0	0	-
counters1_Btree_lin	4096	5	0.648000	0.651000	0.651000	0.655000	0.656000	670048	55270	39060971	0	0	-
counters1_Btree_lin	8192	5	0.684000	0.685000	0.685000	0.686000	0.686000	3372748	53471	40816381	0	0	-
counters1_Btree_lin	16384	5	0.748000	0.748000	0.748000	0.748000	0.748000	14693478	66573	43180530	0	0	-
counters1_Btree_lin	32768	5	0.832000	0.832000	0.832000	0.833000	0.833000	21355573	253823	44212339	0	0	-
counters1_Btree_lin	65536	5	0.951000	0.953000	0.953000	0.953000	0.954000	28572829	8584060	53028710	0	0	-
counters1_Btree_lin	131072	5	1.050000	1.050000	1.050000	1.050000	1.051000	35490574	16602612	59878052	0	0	-
counters1_Btree_lin	262144	5	1.129000	1.130000	1.130000	1.130000	1.131000	43375901	22600520	63976012	0	0	-
counters1_Btree_lin	524288	5	1.193000	1.193000	1.193000	1.194000	1.194000	51961571	29543941	66262698	0	0	-
counters1_Btree_lin	1048576	5	1.427000	1.427000	1.427000	1.430000	1.459000	57920945	39427496	66122758	0	0	-
counters1_Btree_lin	2097152	5	2.029000	2.031000	2.036000	2.037000	2.038000	68108918	51121429	74849822	0	0	-
counters1_Btree_lin	4194304	5	2.347000	2.348000	2.348000	2.351000	2.351000	76804273	57846149	80008065	0	0	-
counters1_Btree_lin	8388608	5	2.638000	2.639000	2.640000	2.640000	2.642000	83339144	63209622	83425324	0	0	-
counters1_Btree_lin	16777216	5	3.019000	3.020000	3.025000	3.033000	3.035000	88876190	71558602	85756765	0	0	-
