Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
counters1_Btree_linrec	1	5	0.033000	0.033000	0.033000	0.033000	0.033000	625208	12190	2928566	0	0	-
counters1_Btree_linrec	2	5	0.046000	0.047000	0.047000	0.047000	0.047000	625203	14234	4987424	0	0	-
counters1_Btree_linrec	4	5	0.081000	0.081000	0.081000	0.086000	0.095000	625310	16114	5867688	0	0	-
counters1_Btree_linrec	8	5	0.137000	0.137000	0.137000	0.145000	0.148000	625382	20517	12024214	0	0	-
counters1_Btree_linrec	16	5	0.179000	0.179000	0.179000	0.188000	0.210000	625803	24848	15670948	0	0	-
counters1_Btree_linrec	32	5	0.236000	0.236000	0.241000	0.247000	0.252000	628516	28560	21551926	0	0	-
counters1_Btree_linrec	64	5	0.281000	0.282000	0.292000	0.293000	0.293000	627769	32374	27165182	0	0	-
counters1_Btree_linrec	128	5	0.342000	0.345000	0.356000	0.357000	0.386000	637511	35753	34138745	0	0	-
counters1_Btree_linrec	256	5	0.415000	0.418000	0.422000	0.425000	0.428000	640412	40679	43029132	0	0	-
counters1_Btree_linrec	512	5	0.481000	0.481000	0.481000	0.481000	0.492000	632899	45851	51541568	0	0	-
counters1_Btree_linrec	1024	5	0.550000	0.551000	0.553000	0.553000	0.554000	631418	51008	61384376	0	0	-
counters1_Btree_linrec	2048	5	0.615000	0.619000	0.619000	0.622000	0.622000	657874	54290	70340034	0	0	-
counters1_Btree_linrec	4096	5	0.679000	0.681000	0.685000	0.685000	0.686000	755216	55283	78053201	0	0	-
counters1_Btree_linrec	8192	5	0.746000	0.747000	0.747000	0.747000	0.747000	5026776	53352	85213599	0	0	-
counters1_Btree_linrec	16384	5	0.813000	0.813000	0.813000	0.813000	0.814000	20182835	61126	93238616	0	0	-
counters1_Btree_linrec	32768	5	0.873000	0.874000	0.874000	0.874000	0.874000	35493564	254440	99702022	0	0	-
counters1_Btree_linrec	65536	5	0.952000	0.952000	0.952000	0.953000	0.953000	48221095	5783433	106498025	0	0	-
counters1_Btree_linrec	131072	5	1.068000	1.068000	1.068000	1.069000	1.069000	61769010	18075705	116911372	0	0	-
counters1_Btree_linrec	262144	5	1.171000	1.172000	1.172000	1.172000	1.172000	78154031	37680954	126450472	0	0	-
counters1_Btree_linrec	524288	5	1.349000	1.352000	1.354000	1.359000	1.362000	106511819	67067764	134066535	0	0	-
counters1_Btree_linrec	1048576	5	1.931000	1.941000	1.943000	1.943000	1.969000	131670745	93413343	146732776	0	0	-
counters1_Btree_linrec	2097152	5	2.393000	2.394000	2.406000	2.409000	2.410000	152043779	114034900	159987148	0	0	-
counters1_Btree_linrec	4194304	5	2.838000	2.852000	2.852000	2.854000	2.855000	174862489	138548518	173950994	0	0	-
counters1_Btree_linrec	8388608	5	3.108000	3.110000	3.112000	3.115000	3.116000	194024569	157982960	182076058	0	0	-
counters1_Btree_linrec	16777216	5	3.455000	3.456000	3.467000	3.467000	3.481000	213483562	177022031	193780400	0	0	-
