Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
counters1_bs	1	5	0.059000	0.059000	0.059000	0.059000	0.070000	625253	14776	4741518	0	0	-
counters1_bs	2	5	0.068000	0.068000	0.074000	0.075000	0.084000	625379	16825	5321312	0	0	-
counters1_bs	4	5	0.121000	0.121000	0.121000	0.123000	0.128000	625307	20114	13750763	0	0	-
counters1_bs	8	5	0.162000	0.163000	0.164000	0.164000	0.173000	625365	22681	18177296	0	0	-
counters1_bs	16	5	0.217000	0.217000	0.223000	0.225000	0.226000	625406	31298	23763980	0	0	-
counters1_bs	32	5	0.236000	0.239000	0.242000	0.244000	0.248000	625654	28289	23858103	0	0	-
counters1_bs	64	5	0.287000	0.289000	0.289000	0.297000	0.297000	625450	31194	29193171	0	0	-
counters1_bs	128	5	0.338000	0.342000	0.343000	0.349000	0.349000	626600	35143	35087443	0	0	-
counters1_bs	256	5	0.383000	0.384000	0.384000	0.385000	0.392000	625646	40066	39952827	0	0	-
counters1_bs	512	5	0.446000	0.447000	0.450000	0.450000	0.450000	626208	44651	49579119	0	0	-
counters1_bs	1024	5	0.506000	0.508000	0.509000	0.509000	0.509000	627008	49131	57654394	0	0	-
counters1_bs	2048	5	0.552000	0.556000	0.556000	0.557000	0.557000	629760	55740	62973598	0	0	-
counters1_bs	4096	5	0.604000	0.604000	0.605000	0.606000	0.617000	665737	68469	68683352	0	0	-
counters1_bs	8192	5	0.654000	0.655000	0.655000	0.655000	0.656000	3259766	48853	74786669	0	0	-
counters1_bs	16384	5	0.748000	0.748000	0.748000	0.749000	0.749000	81600193	47618	85223626	0	0	-
counters1_bs	32768	5	0.825000	0.826000	0.826000	0.827000	0.827000	151647030	115853	90952178	0	0	-
counters1_bs	65536	5	0.978000	0.979000	0.979000	0.981000	0.981000	227367999	30531510	104190428	0	0	-
counters1_bs	131072	5	1.325000	1.325000	1.326000	1.326000	1.327000	334485995	156869865	134593359	0	0	-
counters1_bs	262144	5	1.676000	1.677000	1.677000	1.678000	1.686000	458065709	337094750	154817277	0	0	-
counters1_bs	524288	5	1.855000	1.862000	1.863000	1.865000	1.866000	522790578	421569552	177144400	0	0	-
counters1_bs	1048576	5	2.222000	2.231000	2.234000	2.236000	2.246000	624994085	566158061	193869923	0	0	-
counters1_bs	2097152	5	4.212000	4.215000	4.222000	4.228000	4.230000	627888530	494189489	299251409	0	0	-
counters1_bs	4194304	5	6.455000	6.469000	6.481000	6.485000	6.550000	687458562	635202890	340367395	0	0	-
counters1_bs	8388608	5	8.023000	8.058000	8.063000	8.218000	8.365000	744850434	706627318	357507508	0	0	-
counters1_bs	16777216	5	9.415000	9.415000	9.419000	9.421000	9.451000	819673286	788920749	372096678	0	0	-
