Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
counters2_DFS_lin	1	5	0.074000	0.074000	0.076000	0.076000	0.088000	0	0	0	19	318742631	-
counters2_DFS_lin	2	5	0.086000	0.087000	0.089000	0.089000	0.103000	0	0	0	21	361718122	-
counters2_DFS_lin	4	5	0.107000	0.108000	0.108000	0.108000	0.109000	0	0	0	54	401055843	-
counters2_DFS_lin	8	5	0.135000	0.135000	0.135000	0.140000	0.143000	0	0	0	6591	490828555	-
counters2_DFS_lin	16	5	0.202000	0.205000	0.205000	0.211000	0.217000	0	0	0	502	689580061	-
counters2_DFS_lin	32	5	0.229000	0.230000	0.240000	0.246000	0.260000	0	0	0	317109	730533194	-
counters2_DFS_lin	64	5	0.260000	0.260000	0.262000	0.270000	0.272000	0	0	0	56	842067758	-
counters2_DFS_lin	128	5	0.325000	0.327000	0.331000	0.333000	0.337000	0	0	0	23	1022410775	-
counters2_DFS_lin	256	5	0.366000	0.366000	0.367000	0.367000	0.384000	0	0	0	112	1084146735	-
counters2_DFS_lin	512	5	0.405000	0.405000	0.406000	0.410000	0.413000	0	0	0	23807	1176009690	-
counters2_DFS_lin	1024	5	0.457000	0.462000	0.464000	0.465000	0.467000	0	0	0	2894	1378876941	-
counters2_DFS_lin	2048	5	0.504000	0.506000	0.508000	0.509000	0.514000	0	0	0	120	1456517335	-
counters2_DFS_lin	4096	5	0.539000	0.542000	0.544000	0.546000	0.550000	0	0	0	17402	1522741620	-
counters2_DFS_lin	8192	5	0.599000	0.600000	0.601000	0.602000	0.605000	0	0	0	4854	1758806153	-
counters2_DFS_lin	16384	5	0.664000	0.664000	0.665000	0.666000	0.666000	0	0	0	14876	1805122087	-
counters2_DFS_lin	32768	5	0.714000	0.714000	0.714000	0.715000	0.715000	0	0	0	1617	1885900185	-
counters2_DFS_lin	65536	5	0.780000	0.789000	0.789000	0.790000	0.816000	0	0	0	411	2137530107	-
counters2_DFS_lin	131072	5	0.923000	0.923000	0.924000	0.924000	0.925000	0	0	0	245	2177027964	-
counters2_DFS_lin	262144	5	1.014000	1.015000	1.015000	1.015000	1.015000	0	0	0	24551	2235013502	-
counters2_DFS_lin	524288	5	1.100000	1.103000	1.104000	1.107000	1.113000	0	0	0	23606	2349503907	-
counters2_DFS_lin	1048576	5	1.296000	1.298000	1.307000	1.308000	1.308000	0	0	0	5946	2553427648	-
counters2_DFS_lin	2097152	5	1.979000	1.980000	1.981000	1.982000	1.983000	0	0	0	21583	2603989062	-
counters2_DFS_lin	4194304	5	2.454000	2.455000	2.457000	2.459000	2.465000	0	0	0	50248	2703810675	-
counters2_DFS_lin	8388608	5	2.820000	2.830000	2.844000	2.845000	2.867000	0	0	0	3771	2902197413	-
counters2_DFS_lin	16777216	5	3.174000	3.184000	3.185000	3.188000	3.196000	0	0	0	40344	2952815422	-
