Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_bs	1	5	0.160000	0.174000	0.179000	0.183000	0.189000	659710	1172198	234171	425539		-
ipcm_Btree_bs	2	5	0.219000	0.221000	0.227000	0.228000	0.236000	809646	1471481	266392	543254		-
ipcm_Btree_bs	4	5	0.231000	0.256000	0.260000	0.271000	0.279000	919201	1618604	311334	607867		-
ipcm_Btree_bs	8	5	0.246000	0.261000	0.268000	0.271000	0.282000	804993	1324861	252831	552162		-
ipcm_Btree_bs	16	5	0.295000	0.300000	0.303000	0.304000	0.311000	1120991	2015065	387899	733092		-
ipcm_Btree_bs	32	5	0.340000	0.340000	0.351000	0.351000	0.357000	834505	1596689	286991	547514		-
ipcm_Btree_bs	64	5	0.508000	0.515000	0.516000	0.516000	0.522000	1285595	2245718	403304	882291		-
ipcm_Btree_bs	128	5	0.545000	0.552000	0.558000	0.559000	0.592000	1289772	2259797	405040	884732		-
ipcm_Btree_bs	256	5	0.594000	0.595000	0.595000	0.595000	0.595000	1294674	2265181	409319	885355		-
ipcm_Btree_bs	512	5	0.633000	0.641000	0.650000	0.653000	0.681000	1394872	2400066	423610	971262		-
ipcm_Btree_bs	1024	5	0.674000	0.678000	0.679000	0.685000	0.700000	1313147	2319872	412419	900728		-
ipcm_Btree_bs	2048	5	0.856000	0.856000	0.858000	0.858000	0.865000	1303584	2472238	407621	895963		-
ipcm_Btree_bs	4096	5	0.899000	0.899000	0.904000	0.904000	0.906000	1316418	2776428	408650	907768		-
ipcm_Btree_bs	8192	5	0.935000	0.936000	0.945000	0.947000	0.953000	1756075	5769124	541101	1214974		-
ipcm_Btree_bs	16384	5	0.985000	0.986000	0.993000	0.993000	0.994000	1590561	10980973	440783	1149778		-
ipcm_Btree_bs	32768	5	1.019000	1.019000	1.028000	1.028000	1.045000	2149472	14903596	559550	1589922		-
ipcm_Btree_bs	65536	5	1.277000	1.279000	1.281000	1.283000	1.305000	4937993	14415337	551948	4386045		-
ipcm_Btree_bs	131072	5	1.372000	1.382000	1.385000	1.412000	1.472000	8956368	13928182	630814	8325554		-
ipcm_Btree_bs	262144	5	1.450000	1.450000	1.453000	1.455000	1.516000	11110297	13582242	541622	10568675		-
ipcm_Btree_bs	524288	5	1.478000	1.478000	1.521000	1.523000	1.544000	14647068	12232807	604513	14042555		-
ipcm_Btree_bs	1048576	5	1.762000	1.781000	1.807000	1.810000	1.827000	19159809	13564872	3363004	15796805		-
ipcm_Btree_bs	2097152	5	2.463000	2.472000	2.484000	2.491000	2.495000	24094597	13590613	8514141	15580456		-
ipcm_Btree_bs	4194304	5	2.771000	2.784000	2.785000	2.794000	2.812000	25605744	15291944	11416900	14188844		-
ipcm_Btree_bs	8388608	5	3.013000	3.040000	3.082000	3.128000	3.182000	30044276	14249823	14731134	15313142		-
ipcm_Btree_bs	16777216	5	3.285000	3.286000	3.301000	3.331000	3.349000	30549595	8787902	17195967	13353628		-
