Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_lin	1	5	0.056000	0.062000	0.068000	0.068000	0.077000	308527	573819	139126	169401		-
ipcm_Btree_lin	2	5	0.087000	0.087000	0.097000	0.099000	0.104000	366485	676508	135840	230645		-
ipcm_Btree_lin	4	5	0.119000	0.120000	0.120000	0.120000	0.128000	443978	807693	142529	301449		-
ipcm_Btree_lin	8	5	0.131000	0.132000	0.139000	0.143000	0.151000	488271	849014	152635	335636		-
ipcm_Btree_lin	16	5	0.165000	0.165000	0.179000	0.202000	0.221000	373833	656228	144455	229378		-
ipcm_Btree_lin	32	5	0.230000	0.236000	0.240000	0.240000	0.244000	846369	1550547	271353	575016		-
ipcm_Btree_lin	64	5	0.260000	0.269000	0.269000	0.288000	0.303000	856241	1521186	262914	593327		-
ipcm_Btree_lin	128	5	0.343000	0.355000	0.356000	0.361000	0.367000	875175	1557743	281410	593765		-
ipcm_Btree_lin	256	5	0.415000	0.417000	0.417000	0.422000	0.440000	1267227	2280394	403075	864152		-
ipcm_Btree_lin	512	5	0.451000	0.461000	0.466000	0.466000	0.468000	1284413	2342586	393163	891250		-
ipcm_Btree_lin	1024	5	0.526000	0.527000	0.527000	0.527000	0.530000	1283275	2413546	392021	891254		-
ipcm_Btree_lin	2048	5	0.566000	0.568000	0.569000	0.570000	0.570000	1303669	2581127	397645	906024		-
ipcm_Btree_lin	4096	5	0.639000	0.653000	0.656000	0.670000	0.679000	1726882	3346874	485538	1241344		-
ipcm_Btree_lin	8192	5	0.688000	0.688000	0.691000	0.699000	0.719000	1379748	6452102	422954	956794		-
ipcm_Btree_lin	16384	5	0.730000	0.731000	0.735000	0.736000	0.737000	1652531	10759367	448888	1203643		-
ipcm_Btree_lin	32768	5	0.783000	0.795000	0.800000	0.819000	0.825000	2056614	13159573	302455	1754159		-
ipcm_Btree_lin	65536	5	0.861000	0.862000	0.870000	0.871000	0.881000	4148563	15501706	330258	3818305		-
ipcm_Btree_lin	131072	5	0.957000	0.967000	0.970000	0.971000	0.978000	8355247	14496466	190747	8164500		-
ipcm_Btree_lin	262144	5	1.045000	1.050000	1.076000	1.080000	1.088000	12701501	15738681	389943	12311558		-
ipcm_Btree_lin	524288	5	1.165000	1.170000	1.208000	1.251000	1.280000	16337939	12621745	621054	15716885		-
ipcm_Btree_lin	1048576	5	1.606000	1.616000	1.617000	1.629000	1.677000	18024320	10873278	2694497	15329823		-
ipcm_Btree_lin	2097152	5	2.098000	2.106000	2.150000	2.167000	2.190000	23643736	12472675	6967901	16675835		-
ipcm_Btree_lin	4194304	5	2.444000	2.449000	2.471000	2.547000	2.551000	25834315	11014726	9204735	16629580		-
ipcm_Btree_lin	8388608	5	2.801000	2.822000	2.827000	2.828000	2.851000	29371905	13213362	12325442	17046463		-
ipcm_Btree_lin	16777216	5	3.046000	3.055000	3.070000	3.072000	3.086000	28017895	8005072	12833137	15184758		-
