Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_linrec	1	5	0.235000	0.237000	0.240000	0.247000	0.271000	874928	1609506	280828	594100		-
ipcm_Btree_linrec	2	5	0.115000	0.115000	0.115000	0.119000	0.124000	442421	778720	148610	293811		-
ipcm_Btree_linrec	4	5	0.115000	0.119000	0.120000	0.123000	0.129000	454034	781318	143846	310188		-
ipcm_Btree_linrec	8	5	0.167000	0.174000	0.177000	0.187000	0.228000	545561	1028288	166428	379133		-
ipcm_Btree_linrec	16	5	0.235000	0.235000	0.238000	0.244000	0.244000	820000	1442517	274011	545989		-
ipcm_Btree_linrec	32	5	0.331000	0.338000	0.348000	0.349000	0.366000	1248814	2181419	400987	847827		-
ipcm_Btree_linrec	64	5	0.408000	0.422000	0.437000	0.437000	0.437000	1320561	2818853	436833	883728		-
ipcm_Btree_linrec	128	5	0.451000	0.452000	0.457000	0.464000	0.467000	912924	2094205	305428	607496		-
ipcm_Btree_linrec	256	5	0.517000	0.517000	0.519000	0.520000	0.537000	1334844	2769284	441565	893279		-
ipcm_Btree_linrec	512	5	0.566000	0.566000	0.567000	0.579000	0.581000	1254977	2692165	447158	807819		-
ipcm_Btree_linrec	1024	5	0.632000	0.641000	0.648000	0.648000	0.649000	1360086	2833698	452726	907360		-
ipcm_Btree_linrec	2048	5	0.788000	0.801000	0.803000	0.804000	0.815000	1357274	2907716	455440	901834		-
ipcm_Btree_linrec	4096	5	0.845000	0.853000	0.857000	0.859000	0.859000	1371726	3058764	462534	909192		-
ipcm_Btree_linrec	8192	5	0.888000	0.888000	0.907000	0.915000	0.916000	1795169	5220196	587587	1207582		-
ipcm_Btree_linrec	16384	5	0.956000	0.957000	0.960000	0.970000	0.980000	1554302	8383314	477957	1076345		-
ipcm_Btree_linrec	32768	5	1.036000	1.042000	1.043000	1.050000	1.059000	2172417	11374304	612291	1560126		-
ipcm_Btree_linrec	65536	5	1.172000	1.183000	1.190000	1.195000	1.205000	3477504	10851872	590952	2886552		-
ipcm_Btree_linrec	131072	5	1.275000	1.301000	1.310000	1.314000	1.314000	8017436	10908637	1033241	6984195		-
ipcm_Btree_linrec	262144	5	1.389000	1.391000	1.393000	1.394000	1.409000	10401838	10913644	1227396	9174442		-
ipcm_Btree_linrec	524288	5	1.456000	1.508000	1.512000	1.520000	1.536000	12335967	11277745	1687849	10648118		-
ipcm_Btree_linrec	1048576	5	1.757000	1.774000	1.793000	1.799000	1.822000	15805870	10237299	3332020	12473850		-
ipcm_Btree_linrec	2097152	5	2.323000	2.345000	2.361000	2.367000	2.372000	19296638	10556355	7432696	11863942		-
ipcm_Btree_linrec	4194304	5	2.653000	2.660000	2.670000	2.673000	2.688000	21575719	11800516	9832683	11743036		-
ipcm_Btree_linrec	8388608	5	2.910000	2.942000	2.971000	2.972000	3.009000	23521779	12571223	12076319	11445460		-
ipcm_Btree_linrec	16777216	5	3.350000	3.353000	3.356000	3.363000	3.390000	26406383	10564423	14922324	11484059		-
