Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_DFS_lin	1	5	0.091000	0.098000	0.099000	0.100000	0.125000	395336	774432	150329	245007		-
ipcm_DFS_lin	2	5	0.109000	0.118000	0.118000	0.119000	0.140000	440315	801361	162468	277847		-
ipcm_DFS_lin	4	5	0.125000	0.128000	0.131000	0.132000	0.167000	456884	869346	152594	304290		-
ipcm_DFS_lin	8	5	0.171000	0.192000	0.196000	0.199000	0.206000	742405	1334263	259958	482447		-
ipcm_DFS_lin	16	5	0.262000	0.263000	0.268000	0.268000	0.272000	996753	1783423	343179	653574		-
ipcm_DFS_lin	32	5	0.299000	0.315000	0.318000	0.326000	0.339000	1172865	2050677	384217	788648		-
ipcm_DFS_lin	64	5	0.454000	0.463000	0.480000	0.481000	0.493000	1307398	2270176	417153	890245		-
ipcm_DFS_lin	128	5	0.557000	0.569000	0.570000	0.570000	0.574000	1295030	2248330	399721	895309		-
ipcm_DFS_lin	256	5	0.593000	0.594000	0.594000	0.594000	0.595000	1305309	2237768	399590	905719		-
ipcm_DFS_lin	512	5	0.656000	0.656000	0.656000	0.662000	0.668000	1297012	2250647	400665	896347		-
ipcm_DFS_lin	1024	5	0.748000	0.748000	0.748000	0.748000	0.749000	1302279	2268471	399600	902679		-
ipcm_DFS_lin	2048	5	0.808000	0.809000	0.810000	0.810000	0.811000	1301913	2330417	399021	902892		-
ipcm_DFS_lin	4096	5	0.945000	0.946000	0.947000	0.955000	0.967000	1310694	2457944	397431	913263		-
ipcm_DFS_lin	8192	5	1.007000	1.009000	1.009000	1.024000	1.034000	1332529	3386483	400332	932197		-
ipcm_DFS_lin	16384	5	1.037000	1.037000	1.038000	1.060000	1.063000	1365798	7798936	409381	956417		-
ipcm_DFS_lin	32768	5	1.074000	1.091000	1.092000	1.093000	1.100000	2080485	10843413	539517	1540968		-
ipcm_DFS_lin	65536	5	1.148000	1.148000	1.148000	1.156000	1.187000	2951603	10123836	416672	2534931		-
ipcm_DFS_lin	131072	5	1.319000	1.319000	1.325000	1.326000	1.336000	7404346	9301489	589608	6814738		-
ipcm_DFS_lin	262144	5	1.531000	1.531000	1.532000	1.537000	1.555000	9839678	9987500	633341	9206337		-
ipcm_DFS_lin	524288	5	1.643000	1.653000	1.665000	1.670000	1.673000	11375624	10949606	951594	10424030		-
ipcm_DFS_lin	1048576	5	1.923000	1.958000	1.960000	1.964000	1.970000	13540589	11096525	2512791	11027798		-
ipcm_DFS_lin	2097152	5	2.617000	2.635000	2.639000	2.654000	2.668000	17216388	10017392	6734524	10481864		-
ipcm_DFS_lin	4194304	5	2.970000	2.983000	2.987000	2.992000	3.004000	20178707	9419446	9149595	11029112		-
ipcm_DFS_lin	8388608	5	3.172000	3.261000	3.268000	3.276000	3.279000	22182134	11186806	10821310	11360824		-
ipcm_DFS_lin	16777216	5	3.669000	3.676000	3.681000	3.687000	3.721000	23568440	12923536	13143594	10424846		-
