Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_bs	1	5	0.051000	0.058000	0.062000	0.065000	0.070000	292060	554708	129834	162226		-
ipcm_bs	2	5	0.095000	0.100000	0.115000	0.120000	0.126000	423362	839606	159775	263587		-
ipcm_bs	4	5	0.128000	0.140000	0.143000	0.152000	0.164000	483872	860680	164169	319703		-
ipcm_bs	8	5	0.143000	0.144000	0.148000	0.152000	0.163000	509618	931721	158119	351499		-
ipcm_bs	16	5	0.202000	0.224000	0.230000	0.239000	0.260000	851775	1503983	269680	582095		-
ipcm_bs	32	5	0.249000	0.253000	0.253000	0.275000	0.299000	887479	1543050	281969	605510		-
ipcm_bs	64	5	0.305000	0.308000	0.308000	0.308000	0.317000	868200	1543095	267316	600884		-
ipcm_bs	128	5	0.343000	0.355000	0.366000	0.367000	0.373000	1271986	2272051	395666	876320		-
ipcm_bs	256	5	0.397000	0.404000	0.405000	0.427000	0.432000	963640	1563788	278888	684752		-
ipcm_bs	512	5	0.451000	0.460000	0.485000	0.487000	0.492000	1119290	1966966	386875	732415		-
ipcm_bs	1024	5	0.516000	0.528000	0.532000	0.567000	0.571000	347465	591191	120327	227138		-
ipcm_bs	2048	5	0.580000	0.580000	0.581000	0.581000	0.588000	457590	830573	139386	318204		-
ipcm_bs	4096	5	0.613000	0.615000	0.615000	0.615000	0.624000	461461	963350	136476	324985		-
ipcm_bs	8192	5	0.653000	0.656000	0.657000	0.668000	0.674000	467232	3166318	137642	329590		-
ipcm_bs	16384	5	0.761000	0.763000	0.770000	0.771000	0.782000	498328	45010952	138181	360147		-
ipcm_bs	32768	5	0.846000	0.848000	0.850000	0.853000	0.862000	1183934	76040801	274671	909263		-
ipcm_bs	65536	5	0.982000	0.984000	0.989000	0.999000	1.012000	9230601	90053005	36069	9194532		-
ipcm_bs	131072	5	1.335000	1.337000	1.349000	1.360000	1.387000	52088440	67009335	558691	51529749		-
ipcm_bs	262144	5	1.663000	1.664000	1.679000	1.697000	1.699000	93418020	30671378	36636	93381384		-
ipcm_bs	524288	5	1.925000	1.926000	1.938000	1.945000	1.949000	111034270	34236003	678415	110355855		-
ipcm_bs	1048576	5	2.205000	2.208000	2.213000	2.216000	2.231000	138101850	10603277	3028531	135073319		-
ipcm_bs	2097152	5	4.224000	4.232000	4.280000	4.361000	4.368000	103409668	34383050	42853442	60556226		-
ipcm_bs	4194304	5	6.548000	6.559000	6.566000	6.692000	6.731000	121230325	12770549	80104380	41125945		-
ipcm_bs	8388608	5	7.867000	7.897000	7.906000	7.919000	8.090000	129228886	11598922	100534216	28694670		-
ipcm_bs	16777216	5	9.371000	9.373000	9.389000	9.391000	9.625000	141116364	10157856	120795469	20320895		-
